id,year,p_painted,painted
927341,2022,0.0573770112079831,0
760741,2022,0.0727670701332722,0
760161,2022,0.2002720331365907,0
760104,2022,0.0625852478953692,0
762504,2022,0.0101324127450765,0
801071,2022,0.1545380204520321,0
836225,2022,0.0250452816102004,0
882598,2022,0.0511423818484009,0
756999,2022,0.050091859298518,0
717728,2022,0.0768506737556242,0
816952,2022,0.3571617911425316,0
25853,2002,0.0646589394786068,0
755566,2022,0.4176842582535418,0
758724,2022,0.0366495553965864,0
629015,2022,0.0974999372626954,0
896448,2022,0.2423259257303109,0
831410,2022,0.4148391331464879,0
945657,2022,0.1375069702762007,0
610253,2021,0.0819287143133298,0
825808,2022,0.0149642737482117,0
632727,2022,0.0655711316398386,0
803114,2022,0.1717309171406904,0
646385,2022,0.1248434382344258,0
616820,2022,0.0519908809722817,0
816977,2022,0.0569477802993483,0
833425,2022,0.0432973670121846,0
55341,2017,0.0790559786779914,0
21208,2009,0.0797572207377664,0
423108,2021,0.0712393135862858,0
474350,2019,0.1982201583529755,0
852485,2022,0.0339607390327828,0
632357,2021,0.1169980830764711,0
960258,2022,0.4279433861291759,0
697799,2022,0.1542150097540298,0
460458,2021,0.3405138615435721,0
814800,2022,0.0754629335249877,0
11351,2003,0.100956326129939,0
8922,2001,0.0768862283212429,0
602223,2021,0.3310452921375832,0
830788,2022,0.0701756492879554,0
820511,2021,0.07065677802168,0
138843,2013,0.1803539850256884,0
482373,2021,0.2783301058932317,0
897424,2022,0.2087370103371548,0
531219,2020,0.2377148463368631,0
982543,2022,0.529768988765745,1
829358,2021,0.14365164520702,0
870671,2022,0.033677005630583,0
159211,2013,0.0662932146483317,0
631843,2021,0.0820129973340356,0
938596,2022,0.1746311630263926,0
609972,2021,0.0886446299602497,0
520763,2021,0.0973505228213644,0
424139,2018,0.1894437963929951,0
522444,2020,0.1040657790538569,0
926762,2022,0.7901186277209796,1
11932,1998,0.0670801804759744,0
439079,2018,0.2137760374839275,0
561,2005,0.1586123687381605,0
259693,2016,0.0591543010291523,0
72190,2013,0.27317463259789,0
184345,2014,0.2207206549309904,0
854535,2021,0.1143143499386657,0
393345,2017,0.2064278912059707,0
23823,2009,0.0958990181275783,0
71672,2011,0.2145640249805707,0
13186,2007,0.1263549203159159,0
672582,2021,0.2289523035451575,0
345940,2018,0.1664549838120634,0
630586,2021,0.0198059227449064,0
125509,2012,0.0507785738962607,0
360784,2015,0.0685222133157316,0
516329,2021,0.0521090393367161,0
591273,2021,0.1287323648302457,0
774021,2021,0.2504046008315253,0
22894,2010,0.1079848454362356,0
139038,2013,0.05668726515279,0
346364,2017,0.098460880326982,0
948,1978,0.1317786110981366,0
10585,1988,0.2492972923200565,0
504175,2005,0.1724989394412849,0
998340,2016,0.0697989950866988,0
442249,2018,0.1314104312981442,0
663712,2022,0.1966964100603079,0
723072,2020,0.0804369943923441,0
503736,2021,0.7916069344298751,1
280002,2014,0.0834427460750042,0
760195,2021,0.0738256916480107,0
591274,2021,0.0611487265556225,0
9552,1973,0.0640210215131139,0
11249,2004,0.1589847268967004,0
768447,2022,0.0455815177911227,0
72331,2012,0.0634956406170472,0
913290,2022,0.0317845735299733,0
40012,2006,0.127132751586313,0
11186,1990,0.1588462473258801,0
879497,2022,0.1174039447815626,0
839436,2021,0.3059266015522577,0
25769,2009,0.157557838021683,0
176,2004,0.043350318364188,0
2082,2007,0.0944647527789345,0
70112,2010,0.2178760795069924,0
316727,2016,0.1661813562678199,0
480414,2019,0.1193223710986687,0
47044,1993,0.1989838366576778,0
861057,2021,0.1461050319352858,0
619778,2021,0.0246488360903213,0
9902,2003,0.1157536669585327,0
739990,2021,0.0882155061378538,0
11187,1991,0.1069468728103539,0
521029,2019,0.0622962701224743,0
338947,2022,0.0264496483759136,0
514847,2020,0.0450491505112325,0
9532,2000,0.1260677192377317,0
301804,2016,0.0619305451393377,0
493922,2018,0.1328437945914966,0
533642,2019,0.1386764400248404,0
381288,2016,0.2378632870160314,0
576845,2021,0.2132128324421264,0
167032,2013,0.2751973876552989,0
9373,2003,0.0538140371372394,0
158015,2013,0.0513537626597609,0
754934,2021,0.0253553727481076,0
676547,2022,0.0707846454402318,0
396422,2017,0.1029239378660031,0
786300,2021,0.1186992384207788,0
636879,2020,0.2638624422932417,0
607383,2019,0.2178187197740769,0
565,2002,0.0310495662801196,0
751237,2022,0.1768425261728721,0
60304,2013,0.307163028233436,0
55779,2011,0.0501766390213078,0
23202,2007,0.1185307153427804,0
126889,2017,0.0302981933730872,0
49018,2010,0.1482452666508535,0
440,2007,0.3995613826105201,0
23827,2007,0.0614652253754898,0
257445,2015,0.4641199187880445,0
7342,2002,0.119187318302701,0
227348,2014,0.1878246814121502,0
740925,2021,0.0350872945271722,0
11152,2008,0.1021935043544458,0
590995,2020,0.0244231547385739,0
6466,2003,0.5825562970521796,1
310131,2015,0.0403965278485727,0
10781,2006,0.2004125187746631,0
