n_faces,face_area,max_conf,face_boxes,id,year
1,0.0165,0.834,"0.4664,0.0018,0.1509,0.1093",8398,2007
1,0.134,0.895,"0.2884,0.0239,0.4225,0.317",9542,1986
0,0.0,0.0,,26466,2009
0,0.0,0.0,,9913,2005
1,0.0068,0.904,"0.4287,0.2882,0.0839,0.0809",9678,2000
0,0.0,0.0,,214,2006
1,0.3849,0.884,"0.0089,0.4421,0.7445,0.517",10242,1962
3,0.0369,0.893,"0.4285,0.1547,0.1193,0.1141|0.8115,0.24,0.1164,0.1067|0.1059,0.2133,0.1125,0.0969",10665,2008
0,0.0,0.0,,801071,2022
1,0.4058,0.935,"0.1616,0.2277,0.6607,0.6142",329010,2016
0,0.0,0.0,,391262,2016
2,0.0345,0.914,"0.2569,0.4921,0.155,0.1271|0.6415,0.4857,0.1249,0.1184",10973,1954
0,0.0,0.0,,41439,2010
1,0.3674,0.921,"0.1509,0.0874,0.6512,0.5642",14001,2007
0,0.0,0.0,,430231,2017
1,0.6037,0.912,"0.0327,0.0333,0.8736,0.6911",48171,2011
0,0.0,0.0,,146301,2015
0,0.0,0.0,,11237,2004
1,0.2133,0.656,"0.0522,0.2114,0.4978,0.4285",23963,2009
1,0.4061,0.883,"0.1593,0.2024,0.7196,0.5644",157547,2013
0,0.0,0.0,,2082,2007
0,0.0,0.0,,9426,1986
5,0.0266,0.91,"0.435,0.252,0.1109,0.0998|0.6825,0.3154,0.0837,0.0778|0.2262,0.3363,0.0824,0.0687|0.1164,0.425,0.0448,0.0397|0.7766,0.406,0.0434,0.0365",14863,2008
0,0.0,0.0,,839440,2021
6,0.1964,0.918,"0.6964,0.2821,0.2953,0.3045|0.5927,0.4515,0.2006,0.1719|0.0922,0.3948,0.1734,0.1621|0.2207,0.4626,0.1337,0.1309|0.5139,0.4535,0.1182,0.1243|0.4006,0.4729,0.1096,0.1072",9276,1998
0,0.0,0.0,,333674,2016
0,0.0,0.0,,760104,2022
0,0.0,0.0,,21407,2009
1,0.0337,0.897,"0.3719,0.4183,0.1977,0.1706",11186,1990
1,0.0179,0.911,"0.4699,0.1107,0.1394,0.1286",452507,2017
2,0.0028,0.882,"0.095,0.6178,0.0414,0.0364|0.2855,0.6387,0.0392,0.0337",496704,2018
2,0.0356,0.915,"0.0216,0.026,0.1993,0.158|0.4937,0.5792,0.0704,0.0588",669671,2021
0,0.0,0.0,,16871,2009
0,0.0,0.0,,353345,2015
0,0.0,0.0,,44040,2010
0,0.0,0.0,,8408,1985
0,0.0,0.0,,292280,2017
0,0.0,0.0,,277685,2014
3,0.0085,0.88,"0.7268,0.4604,0.0663,0.0543|0.9087,0.5265,0.0549,0.0471|0.5128,0.5134,0.0527,0.0435",119698,2012
1,0.0242,0.757,"0.7023,0.1326,0.1672,0.1449",424121,2018
3,0.1116,0.901,"0.3146,0.4969,0.3256,0.3067|0.4657,0.254,0.1043,0.0889|0.1094,0.7075,0.0525,0.046",2654,1995
2,0.4182,0.889,"0.1021,0.1225,0.534,0.5064|0.4539,0.2265,0.3642,0.4058",3021,2007
4,0.0058,0.747,"0.4438,0.28,0.0456,0.0379|0.3391,0.3285,0.0403,0.0337|0.5925,0.3388,0.0389,0.0346|0.2339,0.3352,0.0404,0.0327",503736,2021
0,0.0,0.0,,17692,1983
0,0.0,0.0,,24150,2009
0,0.0,0.0,,25983,2009
1,0.1646,0.926,"-0.0067,0.1267,0.3936,0.4183",1933,2001
2,0.4945,0.929,"0.1558,0.0606,0.7094,0.6403|0.415,0.8452,0.2376,0.1694",723072,2020
0,0.0,0.0,,9406,1997
0,0.0,0.0,,11415,1986
0,0.0,0.0,,10320,2005
0,0.0,0.0,,524251,2019
0,0.0,0.0,,717728,2022
0,0.0,0.0,,65055,2011
2,0.5818,0.926,"0.0138,0.0689,0.7853,0.7292|0.1408,0.5802,0.1037,0.0879",18392,1995
0,0.0,0.0,,9552,1973
2,0.1328,0.888,"0.4707,0.5368,0.303,0.2658|0.2131,0.5952,0.219,0.2387",10906,1992
4,0.0484,0.936,"0.3776,0.1003,0.1962,0.1672|0.659,0.3282,0.0982,0.0827|0.3116,0.3098,0.0785,0.0658|0.4544,0.4913,0.0518,0.0436",755566,2022
0,0.0,0.0,,431075,2019
1,0.0425,0.777,"0.4168,0.3063,0.2179,0.1948",63700,2010
2,0.0524,0.919,"0.1269,0.0873,0.1757,0.157|0.3135,0.1492,0.1679,0.1479",794,1976
1,0.0157,0.863,"0.4025,0.5813,0.1377,0.1138",40012,2006
0,0.0,0.0,,28739,2009
1,0.003,0.719,"0.5422,0.7463,0.0599,0.0506",306947,2015
5,0.0681,0.924,"0.5546,0.6235,0.1383,0.1259|0.7754,0.3435,0.1336,0.1249|0.6389,0.4189,0.124,0.1083|0.6416,0.2645,0.1068,0.1022|0.7924,0.1932,0.1028,0.0944",11442,2002
0,0.0,0.0,,523931,2018
0,0.0,0.0,,542224,2020
2,0.4043,0.86,"-0.0138,0.0459,0.4462,0.4543|0.404,0.0976,0.5643,0.3573",11249,2004
0,0.0,0.0,,444149,2018
1,0.3686,0.878,"0.4184,0.1589,0.5815,0.6338",34004,2001
1,0.0205,0.89,"0.4056,0.1225,0.1516,0.1356",927341,2022
0,0.0,0.0,,882598,2022
7,0.0954,0.926,"0.4959,0.581,0.1303,0.1198|0.7332,0.3389,0.1255,0.1181|0.4368,0.3395,0.1239,0.1136|0.6817,0.0824,0.1217,0.1128|0.1715,0.3564,0.1271,0.1057|0.4759,0.1417,0.1192,0.1117|0.2069,0.1004,0.1057,0.0985",520023,2022
1,0.482,0.864,"0.2312,0.0035,0.6791,0.7097",215,2005
6,0.0557,0.927,"0.8327,0.2639,0.1511,0.1417|0.0002,0.2715,0.1021,0.111|0.6686,0.3241,0.1027,0.088|0.1856,0.3182,0.0921,0.0754|0.2797,0.3804,0.0793,0.0676|0.4679,0.314,0.0436,0.037",95993,2003
1,0.0159,0.907,"0.4254,0.2232,0.1327,0.1195",1017335,2022
0,0.0,0.0,,913290,2022
1,0.453,0.788,"0.1274,-0.0004,0.7509,0.6032",505058,2018
0,0.0,0.0,,83899,2011
5,0.004,0.834,"0.5319,0.5854,0.034,0.0279|0.6122,0.5934,0.0311,0.0263|0.4349,0.5816,0.031,0.0255|0.6995,0.5941,0.0302,0.0249|0.3386,0.5976,0.0282,0.023",664168,2020
0,0.0,0.0,,259072,2014
0,0.0,0.0,,564082,2018
0,0.0,0.0,,298312,2015
1,0.0053,0.852,"0.375,0.1284,0.0774,0.0681",72331,2012
1,0.2093,0.875,"0.2657,0.0628,0.4999,0.4187",756999,2022
1,0.0728,0.641,"0.3715,0.2235,0.2946,0.2472",470229,2018
2,0.0059,0.667,"0.289,0.4237,0.0614,0.0505|0.6658,0.4226,0.0586,0.048",287903,2015
0,0.0,0.0,,280092,2015
1,0.0075,0.915,"0.3311,0.1719,0.0948,0.0788",19994,2009
0,0.0,0.0,,485415,2017
0,0.0,0.0,,879497,2022
0,0.0,0.0,,343674,2017
1,0.0431,0.913,"0.6569,0.0896,0.2233,0.193",13510,2008
0,0.0,0.0,,9730,1984
2,0.0056,0.866,"0.7016,0.3603,0.0611,0.0514|0.4733,0.5909,0.0532,0.047",585216,2021
0,0.0,0.0,,354251,2015
0,0.0,0.0,,403119,2017
1,0.0265,0.869,"0.4166,0.2768,0.1825,0.1454",518158,2018
1,0.0045,0.638,"0.4184,0.0998,0.0717,0.0628",18011,2000
1,0.0046,0.93,"0.7204,0.547,0.073,0.0628",573680,2021
1,0.2455,0.882,"0.2269,0.1901,0.4963,0.4946",420634,2016
0,0.0,0.0,,9682,2006
1,0.3139,0.931,"0.2058,0.1214,0.5734,0.5475",768447,2022
1,0.0046,0.901,"0.3929,0.1942,0.0718,0.0645",49730,2011
0,0.0,0.0,,8078,1997
0,0.0,0.0,,9645,2002
3,0.3231,0.915,"-0.0117,0.0719,0.5472,0.5534|0.2536,0.769,0.1188,0.1063|0.1275,0.711,0.0945,0.0809",777620,2021
4,0.0685,0.902,"0.4242,0.3933,0.1544,0.1302|0.807,0.4404,0.1508,0.1323|0.6357,0.3315,0.1523,0.1192|0.2145,0.461,0.1105,0.0933",517764,2019
0,0.0,0.0,,11481,1965
1,0.0011,0.721,"0.5489,0.138,0.0346,0.0317",254474,2014
0,0.0,0.0,,300665,2017
3,0.0202,0.917,"0.5504,0.1571,0.0961,0.0862|0.2528,0.3078,0.0837,0.0719|0.6821,0.3682,0.0866,0.0679",760741,2022
0,0.0,0.0,,738542,2020
1,0.0301,0.824,"0.3796,0.1293,0.187,0.1607",199534,2013
