n_faces,face_area,max_conf,id,year
0,0.0,0.0,602734,2021
1,0.436,0.929,670429,2021
5,0.0617,0.903,273477,2015
1,0.0325,0.891,591275,2021
0,0.0,0.0,9286,2006
1,0.1524,0.929,874924,2013
0,0.0,0.0,82507,2012
0,0.0,0.0,295830,2015
0,0.0,0.0,720026,2020
4,0.0385,0.927,19908,2009
2,0.0068,0.787,442062,2018
1,0.0882,0.774,9358,2003
4,0.0292,0.939,926980,2022
0,0.0,0.0,447332,2018
1,0.0981,0.932,460019,2018
0,0.0,0.0,13207,2009
0,0.0,0.0,647302,2019
0,0.0,0.0,10066,2005
0,0.0,0.0,694,1980
0,0.0,0.0,565028,2021
3,0.0064,0.873,581392,2020
1,0.1688,0.87,397243,2016
1,0.0179,0.883,346672,2016
1,0.0481,0.875,9003,1987
0,0.0,0.0,9792,2006
0,0.0,0.0,509635,2020
1,0.1666,0.838,793002,2021
0,0.0,0.0,11284,1991
2,0.0027,0.811,238636,2014
2,0.0217,0.888,116322,2011
0,0.0,0.0,348,1979
2,0.0056,0.866,585216,2021
1,0.0075,0.915,19994,2009
3,0.3231,0.915,777620,2021
1,0.2455,0.882,420634,2016
1,0.482,0.864,215,2005
0,0.0,0.0,259072,2014
0,0.0,0.0,523931,2018
0,0.0,0.0,524251,2019
0,0.0,0.0,575088,2020
0,0.0,0.0,24150,2009
0,0.0,0.0,11237,2004
5,0.0298,0.876,340382,2015
0,0.0,0.0,839440,2021
2,0.136,0.895,11361,1989
0,0.0,0.0,214,2006
1,0.3674,0.921,14001,2007
0,0.0,0.0,530385,2019
0,0.0,0.0,4488,1980
1,0.0273,0.705,36647,1998
4,0.0224,0.925,338967,2019
2,0.0319,0.868,43947,2010
0,0.0,0.0,16871,2009
1,0.4219,0.664,793967,2021
1,0.0016,0.62,441701,2017
0,0.0,0.0,22970,2012
1,0.3783,0.918,732713,2020
0,0.0,0.0,30497,1974
0,0.0,0.0,714277,2021
0,0.0,0.0,1091,1982
0,0.0,0.0,406563,2018
4,0.0253,0.9,839678,2022
0,0.0,0.0,76617,2013
1,0.0106,0.898,675327,2020
1,0.2328,0.846,792657,2021
0,0.0,0.0,842033,2021
0,0.0,0.0,72571,2011
0,0.0,0.0,901385,2022
2,0.0404,0.917,611651,2019
0,0.0,0.0,663,2007
2,0.6617,0.867,284303,2014
1,0.0013,0.876,300668,2018
8,0.1371,0.924,576004,2019
0,0.0,0.0,357096,2015
2,0.0067,0.772,480157,2017
4,0.1861,0.856,340102,2020
0,0.0,0.0,1562,2007
4,0.0986,0.921,645856,2021
0,0.0,0.0,9793,2007
1,0.6795,0.716,300669,2016
0,0.0,0.0,760883,2021
1,0.1535,0.919,263472,2015
1,0.4589,0.801,19912,2009
3,0.2018,0.864,676840,2021
0,0.0,0.0,8643,2005
1,0.1329,0.868,512025,2021
8,0.021,0.9,800497,2021
1,0.0243,0.906,643586,2021
0,0.0,0.0,74997,2011
1,0.0023,0.824,9378,2001
0,0.0,0.0,578,1975
0,0.0,0.0,698320,2021
1,0.019,0.815,185341,2014
0,0.0,0.0,10987,1995
0,0.0,0.0,703745,2020
0,0.0,0.0,614696,2020
2,0.624,0.871,4233,1997
0,0.0,0.0,395,2004
1,0.01,0.663,622420,2019
0,0.0,0.0,1690,2005
1,0.2401,0.756,59429,2010
2,0.0044,0.841,7131,2004
2,0.3269,0.929,2668,1999
0,0.0,0.0,43593,2010
7,0.1589,0.915,623491,2020
0,0.0,0.0,11281,1981
0,0.0,0.0,270303,2014
1,0.1607,0.922,779202,2021
0,0.0,0.0,109428,2013
7,0.0436,0.925,119278,2012
7,0.0261,0.907,23988,2009
0,0.0,0.0,347548,2015
1,0.0031,0.856,511987,2019
0,0.0,0.0,207768,2013
0,0.0,0.0,9730,1984
0,0.0,0.0,170,2002
133121,2012,3,0.0636
609,1982,0,0.0
346651,2016,0,0.0
9362,1990,0,0.0
36586,2002,1,0.0108
10065,2005,2,0.1907
132232,2013,1,0.0279
11811,1993,2,0.1383
571055,2019,0,0.0
36648,2004,3,0.0937
627290,2020,1,0.3382
18009,1994,0,0.0
732472,2020,0,0.0
881487,2022,1,0.0252
440597,2017,0,0.0
760747,2021,2,0.0444
242512,2014,0,0.0
6114,1992,0,0.0
377,1984,1,0.0289
1970,2004,0,0.0
871875,2021,4,0.0639
11917,2008,0,0.0
80280,2012,1,0.2614
19185,1990,0,0.0
417384,2019,0,0.0
649087,2021,1,0.2421
256274,2014,0,0.0
11797,1985,0,0.0
652004,2020,0,0.0
787752,2022,2,0.2655
741636,2021,0,0.0
864873,2021,0,0.0
433808,2017,0,0.0
747,2004,3,0.0154
615982,2019,1,0.079
485811,2018,1,0.0008
787009,2021,0,0.0
458305,2019,5,0.1022
112355,1972,1,0.0902
5336,1976,1,0.059
807356,2022,1,0.0715
2667,1999,1,0.2473
9725,1981,0,0.0
764,1981,0,0.0
23437,2010,0,0.0
768334,2021,0,0.0
870096,2022,2,0.0026
19286,1995,0,0.0
628,1994,1,0.3768
282069,2014,1,0.0626
659986,2020,2,0.0621
41446,2011,7,0.0608
8913,1989,2,0.1948
763149,2021,1,0.1661
22804,2009,0,0.0
291167,2014,0,0.0
10012,2005,0,0.0
