brightness,dark_share,saturation,red_share,palette,palette_share,id,title,year
44.9,0.3729,0.6143,0.039,"[""#0b1536"", ""#80b5ba"", ""#464a20"", ""#d0cb29"", ""#d18150""]","[0.422, 0.166, 0.154, 0.129, 0.128]",3023,Abbott and Costello Meet Dr. Jekyll and Mr. Hyde,1953
75.28,0.0121,0.2368,0.2679,"[""#f63727"", ""#f6f6f6"", ""#ad9292"", ""#a64038"", ""#593636""]","[0.38, 0.275, 0.126, 0.122, 0.097]",35139,Teenagers from Outer Space,1959
35.86,0.2966,0.3842,0.0,"[""#232217"", ""#2f515e"", ""#70673a"", ""#daaf4b"", ""#7e9eb3""]","[0.274, 0.262, 0.218, 0.165, 0.081]",15856,House on Haunted Hill,1959
20.8,0.6919,0.4876,0.0157,"[""#0c1934"", ""#0e0d0a"", ""#494e25"", ""#ca7317"", ""#c8c492""]","[0.373, 0.312, 0.132, 0.124, 0.059]",20424,Invaders from Mars,1953
69.55,0.0007,0.1691,0.0,"[""#e7e6d6"", ""#b4bd87"", ""#4d4d42"", ""#838b5b"", ""#828f82""]","[0.282, 0.253, 0.176, 0.172, 0.117]",23045,Killers from Space,1954
76.02,0.0,0.2885,0.0,"[""#159b5d"", ""#ebe5eb"", ""#9bbeb4"", ""#51a082"", ""#177843""]","[0.256, 0.234, 0.192, 0.179, 0.139]",482554,A Beautiful Corpse Comes to Life,1956
43.48,0.2494,0.5209,0.3177,"[""#60272d"", ""#271920"", ""#b84f3d"", ""#ad7f72"", ""#ebd17e""]","[0.272, 0.212, 0.19, 0.186, 0.14]",27623,Not of This Earth,1957
46.53,0.2863,0.6381,0.2255,"[""#cee24a"", ""#1b130f"", ""#cc0e0e"", ""#8a8853"", ""#7d1b1a""]","[0.318, 0.276, 0.173, 0.141, 0.092]",434130,Dracula and Company,1959
50.25,0.3251,0.4192,0.0243,"[""#0f0a0b"", ""#eeb854"", ""#f5dd97"", ""#4c3b31"", ""#988365""]","[0.29, 0.261, 0.24, 0.112, 0.097]",141442,The Living Coffin,1959
50.96,0.2993,0.6876,0.0399,"[""#f5ea1d"", ""#130d15"", ""#5e83c9"", ""#91874d"", ""#9f4111""]","[0.404, 0.305, 0.126, 0.084, 0.082]",86191,The Four Skulls of Jonathan Drake,1959
