brightness,dark_share,saturation,red_share,palette,palette_share,id,title,year
16.13,0.7888,0.0587,0.0,"[""#1f2221"", ""#0d0d0d"", ""#444e4a"", ""#7f8180"", ""#cfd0cf""]","[0.425, 0.358, 0.138, 0.051, 0.027]",314225,Spooky Kitaro,1968
75.44,0.0666,0.1646,0.0,"[""#b6fcf9"", ""#c9dddd"", ""#94a1a2"", ""#27272a"", ""#606465""]","[0.535, 0.184, 0.113, 0.088, 0.08]",202357,The Exotic Ones,1968
22.1,0.606,0.3524,0.0153,"[""#120c0c"", ""#5d4b40"", ""#9e266c"", ""#b2a09d"", ""#521636""]","[0.569, 0.129, 0.129, 0.101, 0.072]",108648,The Bride from Hades,1968
19.57,0.6366,0.4675,0.0357,"[""#0e0a13"", ""#243149"", ""#903248"", ""#67737a"", ""#d6b193""]","[0.577, 0.217, 0.082, 0.077, 0.047]",140025,Yotsuya Ghost Story,1959
37.88,0.323,0.3511,0.229,"[""#301d1f"", ""#967758"", ""#862d2a"", ""#aaa493"", ""#674d47""]","[0.382, 0.162, 0.157, 0.15, 0.148]",107413,Snake Woman's Curse,1968
35.64,0.4629,0.3783,0.3945,"[""#fe4121"", ""#050202"", ""#f2edec"", ""#542620"", ""#ba4432""]","[0.587, 0.249, 0.063, 0.061, 0.04]",139132,The Mad Room,1969
43.24,0.3733,0.6481,0.0711,"[""#191319"", ""#f0d01e"", ""#aa5820"", ""#dac4b2"", ""#4b9636""]","[0.441, 0.199, 0.198, 0.088, 0.073]",115609,The Son of Dr. Jekyll,1951
58.75,0.1617,0.2233,0.0043,"[""#3e362d"", ""#c39b68"", ""#f3f3f4"", ""#9a8b97"", ""#bcc53b""]","[0.423, 0.198, 0.178, 0.132, 0.068]",29067,"Die, Monster, Die!",1965
35.55,0.2343,0.7195,0.019,"[""#074274"", ""#151512"", ""#574e21"", ""#cd9921"", ""#d5d5b7""]","[0.483, 0.224, 0.124, 0.12, 0.049]",84944,The White Reindeer,1952
54.7,0.1157,0.4228,0.1338,"[""#bfafa3"", ""#8a476e"", ""#2b161b"", ""#c7422a"", ""#c59f4c""]","[0.319, 0.309, 0.192, 0.095, 0.086]",119201,The Invasion of the Vampires,1963
38.76,0.3458,0.4694,0.0211,"[""#201c1d"", ""#2e93b4"", ""#4e355c"", ""#3ba9a1"", ""#b9acaa""]","[0.402, 0.228, 0.143, 0.137, 0.09]",53442,The Wizard of Mars,1965
52.12,0.0979,0.5341,0.0009,"[""#d1630c"", ""#ae7f3b"", ""#514127"", ""#2f3842"", ""#d8d4c2""]","[0.494, 0.147, 0.135, 0.135, 0.089]",142054,The Rider of the Skulls,1965
60.63,0.293,0.2938,0.0119,"[""#070d12"", ""#f6f7f7"", ""#c36a33"", ""#8a868b"", ""#5e1947""]","[0.51, 0.229, 0.114, 0.084, 0.064]",64624,The House That Screamed,1969
53.44,0.1411,0.4108,0.0907,"[""#2b3320"", ""#d2d5bd"", ""#896645"", ""#df5c37"", ""#deaf47""]","[0.375, 0.168, 0.162, 0.153, 0.142]",95245,Dr. Satan,1966
52.75,0.0014,0.3585,0.0881,"[""#5b4a36"", ""#a9754a"", ""#9c8c70"", ""#99ada3"", ""#b54327""]","[0.29, 0.215, 0.196, 0.162, 0.137]",198992,A Thousand Year-Old Fox,1969
20.61,0.6478,0.3643,0.0811,"[""#0a0404"", ""#c84a10"", ""#422218"", ""#9f8977"", ""#e4dd76""]","[0.454, 0.203, 0.196, 0.091, 0.055]",29235,The Premature Burial,1962
53.65,0.1121,0.529,0.5042,"[""#d61634"", ""#801218"", ""#c6bcb4"", ""#2d0b09"", ""#b86465""]","[0.38, 0.21, 0.18, 0.154, 0.075]",125773,Scream Baby Scream,1969
11.13,0.8119,0.0,0.0,"[""#020202"", ""#9d9d9d"", ""#666666"", ""#333333"", ""#d4d4d4""]","[0.791, 0.07, 0.065, 0.053, 0.021]",109377,Thanatopsis,1962
44.88,0.4701,0.2064,0.0566,"[""#1a1313"", ""#412d2d"", ""#f8f7f3"", ""#dabfb1"", ""#8f4a46""]","[0.427, 0.278, 0.197, 0.055, 0.043]",77571,What Ever Happened to Aunt Alice?,1969
41.48,0.3222,0.3625,0.167,"[""#23191a"", ""#ae1228"", ""#b6bcd0"", ""#725f4b"", ""#d39e3e""]","[0.362, 0.224, 0.183, 0.164, 0.068]",42699,"Yongary, Monster from the Deep",1967
68.66,0.0479,0.3894,0.0562,"[""#99cfea"", ""#cfad5c"", ""#717f8a"", ""#392d25"", ""#cc5139""]","[0.523, 0.22, 0.098, 0.086, 0.073]",315094,Honeymoon of Terror,1961
15.95,0.6875,0.3942,0.3655,"[""#0b0507"", ""#d5374d"", ""#851923"", ""#410c13"", ""#a0a0a0""]","[0.382, 0.249, 0.18, 0.176, 0.014]",25319,The Masque of the Red Death,1964
70.77,0.0828,0.4473,0.1649,"[""#e9430c"", ""#ede6e2"", ""#e39039"", ""#372536"", ""#f2d825""]","[0.392, 0.183, 0.154, 0.138, 0.133]",134174,Santo vs. the Ghost of the Strangler,1966
44.18,0.1816,0.4791,0.0727,"[""#b19372"", ""#2f1f17"", ""#8a3e1d"", ""#725b44"", ""#ac7324""]","[0.322, 0.234, 0.175, 0.159, 0.111]",367502,A Woman Possessed,1968
46.68,0.1413,0.478,0.0969,"[""#e07b39"", ""#2f281d"", ""#90492c"", ""#a9997e"", ""#5c88cb""]","[0.262, 0.235, 0.231, 0.157, 0.115]",124597,Genocide,1968
18.82,0.7039,0.5464,0.0586,"[""#181615"", ""#141a34"", ""#475731"", ""#ac0d26"", ""#bdab37""]","[0.504, 0.177, 0.132, 0.095, 0.093]",57665,The Mask,1961
18.9,0.6349,0.4759,0.229,"[""#0a070a"", ""#de300e"", ""#a9321f"", ""#511610"", ""#828484""]","[0.496, 0.183, 0.144, 0.1, 0.079]",28883,Nostradamus: The Genie of Darkness,1962
78.57,0.0001,0.1235,0.0,"[""#e4d8c9"", ""#c9beb3"", ""#a2988e"", ""#7c7269"", ""#554c42""]","[0.624, 0.143, 0.1, 0.091, 0.043]",397052,The Erotic Circus,1969
35.83,0.4117,0.3166,0.2133,"[""#110a0a"", ""#b62125"", ""#d2c9c3"", ""#6d1e1f"", ""#7f706c""]","[0.408, 0.265, 0.124, 0.104, 0.099]",27701,Castle of the Creeping Flesh,1968
81.69,0.0401,0.1754,0.101,"[""#f0f0ec"", ""#c43a21"", ""#dd9d71"", ""#170e11"", ""#846a6a""]","[0.454, 0.247, 0.144, 0.078, 0.076]",507547,The Well of Deprivation,1969
31.6,0.5966,0.1207,0.0751,"[""#060202"", ""#efefef"", ""#dc0303"", ""#610304"", ""#6a6a6a""]","[0.53, 0.177, 0.146, 0.095, 0.053]",3485,The Castle of Fu Manchu,1969
64.42,0.1466,0.2864,0.014,"[""#e9e0cd"", ""#1d2637"", ""#9e857b"", ""#65a6da"", ""#bc774f""]","[0.286, 0.276, 0.189, 0.132, 0.116]",137207,Puthisen and Lady Kong Rey,1968
49.89,0.3328,0.3955,0.0805,"[""#10145a"", ""#be5f3c"", ""#1a1316"", ""#dbdad5"", ""#68828e""]","[0.34, 0.206, 0.178, 0.16, 0.116]",50110,The Hand of Night,1968
23.41,0.6665,0.3116,0.1071,"[""#421f29"", ""#110b0d"", ""#593f40"", ""#8e817c"", ""#d0c9c5""]","[0.505, 0.288, 0.097, 0.07, 0.04]",53184,The Sadistic Baron Von Klaus,1962
24.8,0.6577,0.0279,0.0132,"[""#030202"", ""#f6f6f5"", ""#91918f"", ""#4b4544"", ""#e00e0c""]","[0.632, 0.137, 0.093, 0.09, 0.048]",27497,Autopsy of a Ghost,1968
39.83,0.2836,0.4073,0.1398,"[""#301e26"", ""#6a5d85"", ""#a0362a"", ""#a2b9d2"", ""#f7c450""]","[0.384, 0.217, 0.194, 0.129, 0.075]",22899,Gamera vs. Barugon,1966
45.18,0.308,0.4414,0.0,"[""#6e8731"", ""#a7c458"", ""#07080b"", ""#667088"", ""#e2e7e7""]","[0.367, 0.294, 0.255, 0.057, 0.027]",450518,Midnight Evocation,1964
74.26,0.029,0.1366,0.0,"[""#d2d3d2"", ""#a4893f"", ""#dec346"", ""#413d2f"", ""#8e8b87""]","[0.459, 0.2, 0.168, 0.108, 0.066]",31965,Witchfinder General,1968
24.94,0.5067,0.1105,0.0,"[""#020202"", ""#69665e"", ""#c5beb2"", ""#47473c"", ""#27271f""]","[0.418, 0.262, 0.128, 0.104, 0.088]",16093,Carnival of Souls,1962
28.61,0.4742,0.3735,0.1453,"[""#171411"", ""#556051"", ""#5d1914"", ""#d7b295"", ""#bc1d14""]","[0.428, 0.216, 0.148, 0.113, 0.095]",42793,The Flesh Eaters,1964
42.26,0.3767,0.4167,0.0804,"[""#161611"", ""#f7d90d"", ""#ab9734"", ""#88a197"", ""#e53d2b""]","[0.332, 0.274, 0.134, 0.131, 0.129]",260776,House of Dreams,1963
50.76,0.2805,0.3729,0.0999,"[""#191715"", ""#8b4c17"", ""#a58d65"", ""#eeedec"", ""#b43226""]","[0.358, 0.204, 0.174, 0.137, 0.128]",3053,The Fearless Vampire Killers,1967
65.46,0.1712,0.2109,0.1162,"[""#f0edee"", ""#241f1b"", ""#d6473c"", ""#a5757c"", ""#e0ab77""]","[0.286, 0.259, 0.188, 0.171, 0.096]",29816,Grimm's Fairy Tales for Adults,1969
20.62,0.7196,0.5355,0.1622,"[""#180d0b"", ""#d61e24"", ""#6e191c"", ""#f1f1f0"", ""#8e847b""]","[0.752, 0.134, 0.061, 0.034, 0.02]",98216,House of the Damned,1963
60.65,0.1559,0.4812,0.1151,"[""#f6f114"", ""#433436"", ""#928c3a"", ""#dad7d0"", ""#b44038""]","[0.357, 0.325, 0.125, 0.107, 0.086]",132346,Terrified,1963
38.36,0.4652,0.2665,0.0,"[""#090404"", ""#e3e3dd"", ""#5d5b59"", ""#9b9a98"", ""#2f2d2b""]","[0.678, 0.147, 0.065, 0.058, 0.052]",115128,Creature of the Walking Dead,1965
23.88,0.5543,0.0,0.0,"[""#212121"", ""#363636"", ""#4d4d4d"", ""#6b6b6b"", ""#8d8d8d""]","[0.522, 0.177, 0.14, 0.092, 0.069]",765860,The Time in the Wall,1969
45.17,0.2038,0.2982,0.0503,"[""#5f7a9f"", ""#33262e"", ""#c5c9c9"", ""#5c4236"", ""#bf9553""]","[0.372, 0.308, 0.132, 0.129, 0.06]",57230,Viy,1967
33.82,0.4614,0.5868,0.2735,"[""#191317"", ""#f51f0e"", ""#c49c87"", ""#dacc58"", ""#245391""]","[0.461, 0.335, 0.093, 0.07, 0.042]",29570,Journey to the Seventh Planet,1962
56.55,0.2634,0.5603,0.1608,"[""#0c0d2b"", ""#f9f06e"", ""#e43926"", ""#993f50"", ""#ebdddf""]","[0.418, 0.2, 0.148, 0.136, 0.098]",104937,Killer Without a Face,1968
42.3,0.2225,0.3614,0.019,"[""#38482a"", ""#997651"", ""#1d1d13"", ""#553828"", ""#c8bbad""]","[0.276, 0.21, 0.195, 0.17, 0.148]",67767,The Haunted Castle,1960
58.87,0.1161,0.6839,0.0964,"[""#bf994c"", ""#273119"", ""#f3e333"", ""#d73f15"", ""#56a7c0""]","[0.264, 0.215, 0.201, 0.174, 0.146]",335185,The Equinox...A Journey Into the Supernatural,1967
35.99,0.4695,0.2709,0.006,"[""#0e0b0e"", ""#5b5140"", ""#d4d6d0"", ""#bc913e"", ""#f45515""]","[0.44, 0.212, 0.154, 0.114, 0.08]",42787,Lady in a Cage,1964
59.92,0.1842,0.3792,0.2172,"[""#241117"", ""#cb4838"", ""#f4eae2"", ""#743f31"", ""#d9a76c""]","[0.269, 0.234, 0.179, 0.174, 0.143]",22758,Bloody Pit of Horror,1965
56.85,0.1687,0.5311,0.4664,"[""#e82a04"", ""#25100f"", ""#c48473"", ""#f5efed"", ""#641b12""]","[0.493, 0.203, 0.129, 0.1, 0.075]",45714,Night of the Eagle,1962
60.87,0.0931,0.3236,0.1221,"[""#4976a8"", ""#e1d7d3"", ""#2c2b42"", ""#d45250"", ""#b67d84""]","[0.259, 0.22, 0.199, 0.166, 0.156]",27699,The Awful Dr. Orlof,1962
40.27,0.3932,0.3317,0.0404,"[""#1d1626"", ""#615f75"", ""#cac6d2"", ""#c1b577"", ""#e53643""]","[0.5, 0.196, 0.132, 0.093, 0.079]",483386,The Witch,1967
79.19,0.0286,0.1596,0.1524,"[""#eeedec"", ""#643f3e"", ""#d8826f"", ""#eb3a39"", ""#ccc67d""]","[0.417, 0.237, 0.155, 0.112, 0.079]",329711,The Devil's Mistress,1965
54.52,0.1622,0.4404,0.1168,"[""#33b9cb"", ""#22322d"", ""#adb7b4"", ""#cb1b18"", ""#b45e5a""]","[0.464, 0.208, 0.135, 0.116, 0.076]",483788,The Stormy Night,1960
39.14,0.3058,0.4761,0.0441,"[""#1c140f"", ""#435f86"", ""#96a48c"", ""#c0561f"", ""#c8c352""]","[0.401, 0.287, 0.126, 0.106, 0.08]",42712,The X from Outer Space,1967
2.97,0.9579,0.0,0.0,"[""#000000"", ""#f1f1f1"", ""#393939"", ""#7a7a7a"", ""#bababa""]","[0.956, 0.015, 0.013, 0.008, 0.007]",459792,El último reloj,1964
47.13,0.3168,0.5522,0.3746,"[""#f81806"", ""#110305"", ""#4c1e1e"", ""#eadbcf"", ""#b13828""]","[0.322, 0.297, 0.167, 0.138, 0.076]",28073,Curse of the Crimson Altar,1968
85.31,0.1115,0.1075,0.0,"[""#fefce4"", ""#040404"", ""#3e3e39"", ""#bdbdae"", ""#848379""]","[0.818, 0.119, 0.024, 0.021, 0.019]",337998,The Nest of the Cuckoo Birds,1965
73.6,0.0308,0.2112,0.0351,"[""#b7a779"", ""#ebe8dd"", ""#997565"", ""#34241e"", ""#dec645""]","[0.293, 0.292, 0.249, 0.112, 0.053]",224473,The Sweet Sound of Death,1965
35.08,0.4868,0.0,0.0,"[""#080808"", ""#e7e7e7"", ""#3c3c3c"", ""#aeaeae"", ""#737373""]","[0.438, 0.18, 0.18, 0.109, 0.092]",10331,Night of the Living Dead,1968
33.98,0.4922,0.3606,0.038,"[""#141012"", ""#695032"", ""#b8a141"", ""#c15d27"", ""#dadbcd""]","[0.45, 0.186, 0.179, 0.094, 0.091]",335572,The Grave Robbers,1966
33.56,0.5203,0.0,0.0,"[""#000000"", ""#999999"", ""#b5b5b5"", ""#dbdbdb"", ""#646464""]","[0.525, 0.188, 0.182, 0.076, 0.03]",913062,Fraternity of Horror,1964
53.24,0.4091,0.0637,0.0,"[""#090807"", ""#f6f5f5"", ""#e4d01e"", ""#817e7a"", ""#7a6e23""]","[0.435, 0.388, 0.069, 0.063, 0.045]",29030,The Tomb of Ligeia,1964
37.52,0.2841,0.3945,0.1313,"[""#1c1c18"", ""#c3947e"", ""#674b3b"", ""#666129"", ""#c64537""]","[0.274, 0.218, 0.206, 0.152, 0.15]",295737,The Demon of Mount Oe,1960
44.53,0.4211,0.4451,0.0171,"[""#0e1224"", ""#ece8ea"", ""#936d43"", ""#755b88"", ""#e0d549""]","[0.592, 0.118, 0.116, 0.112, 0.062]",29403,The Night Walker,1964
24.27,0.5804,0.6736,0.1558,"[""#14070b"", ""#90220e"", ""#e4c44f"", ""#5b9022"", ""#436461""]","[0.517, 0.187, 0.103, 0.098, 0.094]",3025,The Two Faces of Dr. Jekyll,1960
40.61,0.1128,0.307,0.0652,"[""#39362d"", ""#606163"", ""#a87757"", ""#6aadcb"", ""#e64e29""]","[0.326, 0.267, 0.223, 0.109, 0.076]",12602,The Torture Chamber of Dr. Sadism,1967
52.06,0.3856,0.1563,0.0493,"[""#1b1516"", ""#f3f2f3"", ""#6e3226"", ""#595860"", ""#a6a5a9""]","[0.49, 0.258, 0.086, 0.085, 0.08]",27425,Blind Beast,1969
42.27,0.2839,0.3662,0.2174,"[""#f91103"", ""#121613"", ""#4d594f"", ""#cacecb"", ""#94261f""]","[0.332, 0.304, 0.197, 0.114, 0.052]",31655,The Terror,1963
60.16,0.2449,0.3812,0.0,"[""#1f2a13"", ""#eeece6"", ""#787f41"", ""#e4a23b"", ""#d8d927""]","[0.436, 0.18, 0.174, 0.118, 0.092]",85235,Island of the Doomed,1967
48.33,0.2734,0.2653,0.0564,"[""#1e1817"", ""#ada5a6"", ""#d766a4"", ""#c4342d"", ""#e8e11b""]","[0.357, 0.339, 0.126, 0.097, 0.08]",94737,The Curse of Her Flesh,1968
66.65,0.1374,0.2592,0.0846,"[""#443a39"", ""#e4edec"", ""#dda772"", ""#d45132"", ""#f3ea30""]","[0.324, 0.303, 0.15, 0.137, 0.086]",62914,Santo in the Hotel of Death,1963
59.13,0.2208,0.5791,0.0768,"[""#f6e829"", ""#191412"", ""#94715f"", ""#e7340c"", ""#d6a14f""]","[0.567, 0.154, 0.105, 0.087, 0.086]",121401,Eye of the Cat,1969
45.09,0.0511,0.504,0.1198,"[""#58356c"", ""#8c4d3f"", ""#4b6fa4"", ""#e1bb28"", ""#c8c0cb""]","[0.419, 0.248, 0.162, 0.098, 0.073]",42998,The Horrible Dr. Hichcock,1962
66.54,0.1667,0.6136,0.1461,"[""#f9f71e"", ""#d73a28"", ""#362d29"", ""#9c862b"", ""#ebd3ab""]","[0.541, 0.18, 0.106, 0.088, 0.085]",84950,The Beast That Killed Women,1965
38.74,0.3065,0.4678,0.1827,"[""#292a26"", ""#5a959c"", ""#ec1d10"", ""#bfb751"", ""#a5513f""]","[0.383, 0.178, 0.164, 0.141, 0.134]",77889,Brides of Blood,1968
18.11,0.6202,0.6084,0.1865,"[""#180f1c"", ""#193633"", ""#642029"", ""#c32e2d"", ""#d29b3d""]","[0.412, 0.319, 0.15, 0.102, 0.016]",52728,Gamera vs. Gyaos,1967
57.82,0.2003,0.355,0.1081,"[""#31293d"", ""#e2d8c0"", ""#e64841"", ""#983a50"", ""#9c9d4a""]","[0.324, 0.297, 0.142, 0.125, 0.113]",341790,Wrestling Women vs. the Killer Robot,1969
32.85,0.4398,0.5531,0.347,"[""#171517"", ""#5b211e"", ""#b8462d"", ""#dfca9c"", ""#50634c""]","[0.363, 0.282, 0.188, 0.109, 0.058]",252422,Portrait in Terror,1965
81.22,0.0255,0.0697,0.0,"[""#e3dcd6"", ""#c3bcb6"", ""#302d28"", ""#65605b"", ""#97908a""]","[0.775, 0.072, 0.061, 0.052, 0.041]",18352,The Cremator,1969
42.0,0.1815,0.3078,0.0802,"[""#2f3443"", ""#eae2d8"", ""#746464"", ""#c3140f"", ""#bc6c5c""]","[0.617, 0.115, 0.104, 0.093, 0.071]",31634,The Amazing Transparent Man,1960
45.67,0.3018,0.4366,0.0619,"[""#15120d"", ""#6f462c"", ""#dccdb2"", ""#cd864e"", ""#bd393a""]","[0.402, 0.194, 0.191, 0.14, 0.073]",482858,The Midnight Terror,1961
49.2,0.1869,0.4427,0.0,"[""#6b9fb7"", ""#020205"", ""#3f7a90"", ""#2a4a5f"", ""#142131""]","[0.692, 0.139, 0.065, 0.053, 0.051]",191429,Hypnosis,1962
53.49,0.2202,0.5837,0.0,"[""#1394bf"", ""#030509"", ""#196e8e"", ""#ebf3f4"", ""#0f384c""]","[0.529, 0.162, 0.125, 0.093, 0.09]",28669,Rasputin: The Mad Monk,1966
62.21,0.2208,0.4771,0.0025,"[""#eed704"", ""#111323"", ""#3a83a6"", ""#f6f6f5"", ""#5e7718""]","[0.351, 0.274, 0.15, 0.121, 0.104]",11773,Village of the Damned,1960
46.52,0.3218,0.5249,0.0645,"[""#120d24"", ""#3d407b"", ""#d91245"", ""#d7d5dc"", ""#86264a""]","[0.344, 0.208, 0.174, 0.157, 0.117]",48885,The Gruesome Twosome,1967
25.75,0.7051,0.2328,0.1076,"[""#2e2a25"", ""#f63e26"", ""#8d2c21"", ""#726e69"", ""#bebcb3""]","[0.684, 0.18, 0.054, 0.048, 0.034]",445894,Body of a Female,1964
16.22,0.719,0.2848,0.0966,"[""#080708"", ""#126378"", ""#eec378"", ""#e74e32"", ""#6f4138""]","[0.526, 0.165, 0.113, 0.108, 0.088]",74397,The Psychopath,1966
27.45,0.576,0.4958,0.188,"[""#110405"", ""#d50219"", ""#d2d3ce"", ""#6b0510"", ""#464645""]","[0.596, 0.247, 0.062, 0.052, 0.043]",93888,The Black Cat,1966
66.45,0.1,0.0,0.0,"[""#f4f4f4"", ""#c1c1c1"", ""#2c2c2c"", ""#575757"", ""#8e8e8e""]","[0.364, 0.184, 0.181, 0.15, 0.121]",121620,The Touch of Her Flesh,1967
17.5,0.7096,0.0001,0.0,"[""#020202"", ""#282828"", ""#545454"", ""#d7d7d7"", ""#8a8a8a""]","[0.652, 0.1, 0.093, 0.086, 0.068]",435121,Fantasmagorie,1964
29.32,0.4345,0.5275,0.3402,"[""#1e0d0d"", ""#603831"", ""#ac8a75"", ""#e07940"", ""#e6c268""]","[0.456, 0.318, 0.104, 0.068, 0.056]",19201,Captain Clegg,1962
70.19,0.1019,0.1836,0.0844,"[""#e8eeee"", ""#1d2128"", ""#898b8d"", ""#d7250a"", ""#9e4133""]","[0.378, 0.254, 0.158, 0.142, 0.069]",31287,Eegah,1962
53.46,0.2289,0.2488,0.1361,"[""#c46b4f"", ""#f5db87"", ""#252423"", ""#896d5f"", ""#dfd6c9""]","[0.357, 0.195, 0.179, 0.143, 0.126]",42717,Circus of Fear,1966
63.03,0.0325,0.3499,0.2898,"[""#c78168"", ""#b93135"", ""#dbcec6"", ""#495b6f"", ""#96af40""]","[0.36, 0.225, 0.198, 0.184, 0.033]",928529,Kappa no Sanpei: Ghost Operation,1968
20.05,0.6855,0.1702,0.0613,"[""#070404"", ""#cac3a8"", ""#635f51"", ""#411413"", ""#903220""]","[0.563, 0.149, 0.135, 0.097, 0.056]",23439,House of Usher,1960
15.42,0.8416,0.3016,0.0406,"[""#1c1b15"", ""#462111"", ""#8a7654"", ""#a73614"", ""#915739""]","[0.706, 0.099, 0.084, 0.062, 0.049]",577849,Yakshi,1968
68.02,0.0469,0.2543,0.025,"[""#d2d1c7"", ""#e2c819"", ""#9a6e46"", ""#59757f"", ""#3d3034""]","[0.335, 0.186, 0.172, 0.161, 0.146]",28586,Tormented,1960
56.11,0.2247,0.2508,0.0679,"[""#11091b"", ""#f1eeef"", ""#a498a2"", ""#4e4456"", ""#c64950""]","[0.409, 0.175, 0.159, 0.144, 0.112]",158873,The Tell-Tale Heart,1960
25.91,0.5234,0.445,0.2281,"[""#1d1d1e"", ""#5c291f"", ""#397440"", ""#cf291d"", ""#b39198""]","[0.409, 0.25, 0.177, 0.092, 0.072]",97298,It's Alive!,1969
31.99,0.1617,0.0744,0.0305,"[""#534f4e"", ""#232221"", ""#7c7b7a"", ""#a1212e"", ""#79333a""]","[0.609, 0.203, 0.094, 0.05, 0.043]",469674,The Bride Who Has Returned From Hell,1965
36.19,0.4786,0.4979,0.0001,"[""#f8ad1e"", ""#0a0a08"", ""#5f472c"", ""#ab7c32"", ""#e2e2e2""]","[0.404, 0.368, 0.108, 0.093, 0.026]",55152,The Oblong Box,1969
49.39,0.281,0.4783,0.181,"[""#d2735b"", ""#171022"", ""#091648"", ""#e1d0c9"", ""#4c716f""]","[0.296, 0.248, 0.204, 0.143, 0.11]",32569,X: The Man with the X-Ray Eyes,1963
75.95,0.0448,0.2684,0.1282,"[""#ef7546"", ""#f7f5f0"", ""#dfb586"", ""#9f5543"", ""#3c3942""]","[0.321, 0.26, 0.158, 0.144, 0.116]",160794,The Witches Attack,1968
66.35,0.1408,0.3249,0.0956,"[""#1b1b1a"", ""#e2e1de"", ""#d13c23"", ""#5c9388"", ""#e2c964""]","[0.255, 0.254, 0.18, 0.179, 0.132]",447884,Mae Nak: Reckless Love,1968
42.07,0.3089,0.4846,0.0485,"[""#191415"", ""#c4ab7a"", ""#1b758a"", ""#ad3657"", ""#f1d225""]","[0.272, 0.25, 0.224, 0.145, 0.109]",52203,The Flesh and the Fiends,1960
42.38,0.2363,0.2633,0.0,"[""#34414f"", ""#5e7287"", ""#05070c"", ""#3493ca"", ""#dee1e3""]","[0.306, 0.243, 0.208, 0.134, 0.109]",37579,The Revenge of Dr. X,1967
23.76,0.6034,0.0912,0.0,"[""#070706"", ""#2b2c2b"", ""#515351"", ""#ebeceb"", ""#9a9c99""]","[0.545, 0.214, 0.115, 0.065, 0.061]",331425,Keranda Berdarah,1969
30.05,0.4397,0.5701,0.0,"[""#4d89c1"", ""#02030b"", ""#265188"", ""#111e47"", ""#dadad2""]","[0.36, 0.322, 0.168, 0.134, 0.016]",11772,The Haunting,1963
66.11,0.1134,0.675,0.0522,"[""#e8da2c"", ""#c9a04b"", ""#2f1a16"", ""#91502d"", ""#bcafc0""]","[0.549, 0.161, 0.142, 0.113, 0.035]",77669,The Earth Dies Screaming,1964
30.02,0.5097,0.2851,0.0001,"[""#0e1010"", ""#dec33c"", ""#277293"", ""#9c958c"", ""#5b844a""]","[0.46, 0.216, 0.126, 0.112, 0.086]",47615,Orgy of the Dead,1965
63.98,0.0,0.2079,0.0042,"[""#b79c93"", ""#ad9087"", ""#a5857d"", ""#d5c5c2"", ""#75534a""]","[0.359, 0.291, 0.271, 0.053, 0.026]",694717,Edgar Allan Poe’s Annabel Lee,1969
55.54,0.0582,0.3962,0.4132,"[""#a95c57"", ""#c58d7c"", ""#772c3b"", ""#dcc3bb"", ""#39181e""]","[0.268, 0.249, 0.234, 0.158, 0.091]",301765,Mask of the Red Death,1969
47.56,0.25,0.5406,0.0885,"[""#c1ba44"", ""#150e12"", ""#849994"", ""#de6235"", ""#48387c""]","[0.243, 0.223, 0.189, 0.178, 0.166]",461815,La marca del muerto,1961
38.31,0.2956,0.5048,0.1179,"[""#1e1e24"", ""#7d8e6e"", ""#c9972e"", ""#c9211c"", ""#70341f""]","[0.358, 0.233, 0.158, 0.14, 0.111]",40804,Gorgo,1961
33.57,0.2832,0.0698,0.0,"[""#0f0f0d"", ""#6f6f6b"", ""#53534f"", ""#8e908b"", ""#33332f""]","[0.282, 0.277, 0.192, 0.142, 0.106]",765878,Alla ricerca dell'impossibile,1962
22.38,0.4795,0.26,0.0,"[""#0a0c0c"", ""#333b36"", ""#566b54"", ""#25455e"", ""#68994b""]","[0.396, 0.209, 0.187, 0.148, 0.06]",30914,This Night I'll Possess Your Corpse,1967
33.01,0.4857,0.4437,0.3155,"[""#1a1011"", ""#a72e2a"", ""#5c2a29"", ""#c0bab9"", ""#d9c62f""]","[0.36, 0.218, 0.217, 0.123, 0.082]",104944,The Doll of Satan,1969
67.98,0.0482,0.8576,0.1443,"[""#d8d306"", ""#d3280a"", ""#9f8c42"", ""#aa4645"", ""#36233a""]","[0.664, 0.1, 0.096, 0.073, 0.067]",41035,Torture Garden,1967
32.09,0.4326,0.4128,0.1578,"[""#171517"", ""#b71819"", ""#6d5b3c"", ""#e0c7b1"", ""#d1c421""]","[0.388, 0.266, 0.19, 0.087, 0.068]",95567,The Monster of Camp Sunshine or How I Learned to Stop Worrying and Love Nature,1964
22.65,0.6585,0.7257,0.0389,"[""#070428"", ""#030560"", ""#221c11"", ""#a97359"", ""#ceb928""]","[0.332, 0.236, 0.225, 0.166, 0.041]",83356,Devils of Darkness,1965
74.06,0.1052,0.175,0.0038,"[""#f1f1ee"", ""#281a12"", ""#c8b7a1"", ""#624731"", ""#9e7a5b""]","[0.356, 0.19, 0.179, 0.148, 0.127]",83193,"Lokis, a Manuscript of Professor Wittembach",1970
32.88,0.5109,0.2699,0.0949,"[""#161316"", ""#492f22"", ""#8c7d72"", ""#d4d2d2"", ""#892a21""]","[0.466, 0.201, 0.139, 0.112, 0.082]",29960,Vampire Circus,1972
71.72,0.0903,0.21,0.0497,"[""#f0d6a3"", ""#f0f0ee"", ""#38271d"", ""#928671"", ""#943f1d""]","[0.246, 0.223, 0.19, 0.182, 0.158]",52745,The Leech Woman,1960
