id,title,year,genre_names
192857,Zombie Musical,2011,"Action, Comedy, Horror, Music"
833677,tricotMOVIE7月号,2011,"Documentary, Horror, Music"
183597,1334,2012,"Horror, Music"
471891,David Blyth's Damn Laser Vampires,2012,"Horror, Music"
83404,Don't Go in the Woods,2012,"Horror, Music"
313343,Idol Is Dead,2012,"Comedy, Horror, Music"
668072,A Ópera do Cemitério,2013,"Comedy, Horror, Music, TV Movie"
1009794,Ghost Hunters: Deep Cover Part 2,2013,"Fantasy, History, Horror, Music, TV Movie"
919969,Leñador y la mujer América,2013,"Drama, Horror, Music, Romance, Science Fiction"
674852,Litchi Hikari Club Stage Play,2013,"Drama, Horror, Music"
1012520,Rock And Roll Fuck 'n' Lovely,2013,"Drama, Horror, Music"
712567,ThanksKilling The Musical,2013,"Comedy, Horror, Music"
196425,Utopia,2013,"Horror, Music"
836525,tricotMOVIE'13 8月号,2013,"Documentary, Horror, Music"
722571,Beneath Glass Trees,2014,"Fantasy, Horror, Music"
864531,Chandralekha,2014,"Comedy, Horror, Music, Mystery"
324436,Dyke Hard,2014,"Action, Adventure, Comedy, Fantasy, Horror, Music, Science Fiction"
719456,Michale Graves: Zombies,2014,"Horror, Music"
449352,Moondog Airwaves,2014,"Comedy, Drama, Horror, Music, Thriller"
684478,Mushroom Melody - A Ballad In Rhythm Jeans,2014,"Horror, Music"
298663,Sweeney Todd: The Demon Barber of Fleet Street,2014,"Drama, Horror, Music, Thriller"
739174,The Frank,2014,"Comedy, Horror, Music"
323373,Deathgasm,2015,"Comedy, Horror, Music"
366255,Killer Rack,2015,"Comedy, Horror, Music"
364873,Rocky Horror Show Live,2015,"Comedy, Horror, Music"
375742,The Lure,2015,"Fantasy, Horror, Music"
995842,Whalin,2015,"Drama, Horror, Music"
285743,Alleluia! The Devil's Carnival,2016,"Horror, Music"
789617,Cruel Opera Litchi Hikari Club Stage Play,2016,"Comedy, Drama, Horror, Music"
412354,Death Metal,2016,"Comedy, Horror, Music"
425788,Frankenstein,2016,"Horror, Music"
658810,MUSICAL BIOHAZARD ~ Voice of Gaia ~,2016,"Horror, Music"
645124,Silence,2016,"Drama, Horror, Music"
350916,Spidarlings,2016,"Comedy, Horror, Music, Thriller"
453299,Sublimate,2016,"Comedy, Horror, Music, Science Fiction"
354380,Too Young To Die!,2016,"Comedy, Fantasy, Horror, Music, Romance"
927412,Ty Segall's Emotional Mugger,2016,"Horror, Music"
470305,Vampire,2016,"Horror, Music"
481566,Bonefire,2017,"Horror, Music, Thriller"
315205,Good Manners,2017,"Drama, Fantasy, Horror, Music"
700388,Opera of Cruelty,2017,"Drama, Fantasy, Horror, Music"
525663,Some Fairytales From The Rotten Shed,2017,"Comedy, Drama, Horror, Music, Mystery, Thriller"
1023371,The Monster of Phantom Lake: The Musical!,2017,"Comedy, Horror, Music"
409544,We Together,2017,"Horror, Music"
568265,A Little Late,2018,"Horror, Music"
561930,Ant Head,2018,"Horror, Music"
874995,Bleu - Everything Is Fine,2018,"Horror, Music"
507076,Climax,2018,"Horror, Music"
1020730,Ghost Light,2018,"History, Horror, Music"
568851,Ghostroads: A Japanese Rock N Roll Ghost Story,2018,"Horror, Music"
561576,Haunted House Rides,2018,"Comedy, Horror, Music"
787806,Kuasha Jakhon,2018,"Horror, Music, Thriller"
426249,Lords of Chaos,2018,"Drama, Horror, Music, Thriller"
556835,Lucid Dreams,2018,"Comedy, Drama, Horror, Music, Thriller"
564366,Strange Vibes,2018,"Comedy, Horror, Music"
724796,American Chilly,2019,"Comedy, Horror, Music"
813678,"Brutal Realty, Inc.",2019,"Comedy, Horror, Music"
682612,Heza,2019,"Horror, Music"
636674,Jesus,2019,"Documentary, Drama, History, Horror, Music, Thriller"
616584,K-12,2019,"Fantasy, Horror, Music"
641212,Karaoke Night,2019,"Comedy, Horror, Music"
705467,Mommy Got a Demon,2019,"Comedy, Horror, Music"
651732,Opening Act,2019,"Horror, Music, Thriller"
999855,Stephen King's IT: A Musical Parody,2019,"Comedy, Horror, Music"
633686,The Devil's Harmony,2019,"Comedy, Horror, Music"
636520,The Ripper,2019,"Comedy, Horror, Music"
990192,Woody Woodpecker,2019,"Fantasy, Horror, Music"
744038,BARE BONES,2020,"Drama, Horror, Music, Science Fiction"
797888,Benighted,2020,"Horror, Music"
679014,Black Friday,2020,"Comedy, Horror, Music"
986398,El Sueño,2020,"Fantasy, Horror, Music"
727627,Eternally,2020,"Drama, Fantasy, Horror, Music"
759335,GWAR - Scumdogs XXX Live! The 30th Anniversary Reunion Show,2020,"Horror, Music"
38258,Grizzly II: Revenge,2020,"Horror, Music, Thriller"
771390,Macabre Night,2020,"Action, Comedy, Horror, Music"
668462,Multiplex,2020,"Action, Adventure, Comedy, Fantasy, Horror, Music, Science Fiction"
643550,Nocturne,2020,"Horror, Music, Mystery, Thriller"
701511,PHANTASY,2020,"Comedy, Fantasy, Horror, Music"
744549,Raal,2020,"Horror, Music"
757100,Satisfaction,2020,"Comedy, Horror, Music"
585013,Shakespeare’s Shitstorm,2020,"Comedy, Horror, Music"
738186,Sister Tempest,2020,"Comedy, Horror, Music, Science Fiction, Thriller"
781619,The Flesh of Fallen Angels,2020,"Horror, Music"
730426,The Strings,2020,"Horror, Music, Thriller"
1014436,Treasure Map,2020,"Adventure, Comedy, Crime, Documentary, Drama, Family, Horror, Music, Mystery, Romance, Western"
667154,Uncle Peckerhead,2020,"Comedy, Horror, Music"
690348,Unemployed Clown at Home,2020,"Horror, Music"
701909,Vampire Burt's Serenade,2020,"Comedy, Horror, Music"
875993,As Good As Dead,2021,"Comedy, Horror, Music"
861977,Banshee,2021,"Drama, Horror, Music"
804304,Be Your Own Dentist,2021,"Horror, Music"
915864,Bebop Bologna,2021,"Horror, Music"
912160,Ice Nine Kills: The Silver Stream,2021,"Horror, Music"
884490,Nước Chảy Hoa Trôi (Reborn),2021,"Fantasy, Horror, Music, Romance"
851429,Poltergeist Punk,2021,"Comedy, Horror, Music"
1014242,Rhyme or Die,2021,"Horror, Music"
889995,Sandekala Entführt,2021,"Fantasy, Horror, Music, Mystery, War"
804042,Stuffed,2021,"Drama, Horror, Music"
891811,The Copper Queen,2021,"Drama, History, Horror, Music, Romance, Western"
591262,The History of Metal and Horror,2021,"Documentary, Horror, Music"
881260,The Inferno Index,2021,"Drama, Horror, Music"
880305,The Last Train to Rock'n'Roll,2021,"Comedy, Horror, Music"
845407,Versos Post Mortem,2021,"Comedy, Horror, Music"
1031216,Black Lodge,2022,"Horror, Music, Mystery"
992973,Bleach,2022,"Drama, Horror, Music"
1018539,Doctor Terror,2022,"Horror, Music"
961359,Hideous,2022,"Drama, Horror, Music"
1025190,Howie Pyro Rock ‘n’ Roll Monster Mash!,2022,"Horror, Music"
927526,Maneater!,2022,"Comedy, Horror, Music"
1015327,PHANTOM DIALECT: A Road to Acceptance,2022,"Horror, Music, Mystery"
974572,Passing Out,2022,"Horror, Music, Mystery"
919670,Phantom Summer,2022,"Fantasy, Horror, Music, Romance"
928162,Powertool Cheerleaders vs the Boyband of the Screeching Dead,2022,"Horror, Music"
984982,Rose Tinted Cheeks,2022,"Horror, Music, Romance"
895744,Studio 666,2022,"Comedy, Horror, Music"
1019917,"Surreal, Onírico, Caótico",2022,"Fantasy, Horror, Music, Thriller"
959959,The Flesh of Another,2022,"Horror, Music, Romance"
887309,The Runner,2022,"Horror, Music"
913772,The Severing,2022,"Horror, Music"
852830,Torn Hearts,2022,"Horror, Music, Thriller"
10776,Little Shop of Horrors,1986,"Comedy, Horror (manual — theatrical musical; TMDB omitted Music tag)"
