id,year,symmetry,neg_space,complexity,mass_y,mass_x,text_area,text_y,text_regions,text_x,text_top,text_w,text_h,align_score,thirds_dist,n_blocks,balance,harmony,diagonal_score,pyramid_shift
623034,2018,0.81,0.12,0.14,0.43,0.5,0.2569,0.4501,283.0,0.0209,0.0192,0.9709,0.1686,0.13,0.24,5.0,0.11,0.91,0.28,-0.07
9374,1992,0.66,0.22,0.17,0.34,0.53,0.2602,0.445,385.0,0.0168,0.0125,0.9752,0.1802,0.07,0.24,9.0,0.17,0.94,0.31,-0.02
176,2004,0.93,0.71,0.06,0.47,0.47,0.1533,0.4743,195.0,0.5013,0.795,0.4691,0.0805,0.13,0.13,4.0,0.04,0.94,0.52,-0.03
11449,1979,0.92,0.28,0.17,0.5,0.48,0.2617,0.4724,242.0,0.1291,0.1469,0.7398,0.2473,0.07,0.22,7.0,0.04,0.91,0.33,-0.19
11246,2002,0.84,0.04,0.16,0.49,0.51,0.2682,0.4922,339.0,0.0569,0.8265,0.8716,0.168,0.04,0.24,12.0,0.03,0.87,0.21,0.04
362826,2018,0.88,0.32,0.07,0.44,0.49,0.0607,0.4619,134.0,0.3949,0.3727,0.4826,0.0774,0.07,0.19,8.0,0.07,0.91,0.26,-0.01
458305,2019,0.85,0.2,0.15,0.51,0.5,0.3336,0.4349,300.0,0.0586,0.7859,0.8788,0.1329,0.05,0.21,11.0,0.06,0.94,0.43,-0.12
11361,1989,0.8,0.57,0.09,0.58,0.47,0.1335,0.5149,225.0,0.0986,0.771,0.8265,0.1304,0.05,0.23,9.0,0.14,0.87,0.28,0.05
25239,1978,0.69,0.14,0.19,0.51,0.55,0.333,0.5082,411.0,0.0052,0.3902,0.9861,0.1996,0.07,0.24,8.0,0.05,0.91,0.32,-0.09
9711,2004,0.83,0.11,0.14,0.44,0.52,0.1938,0.5418,356.0,0.0,0.1299,0.9604,0.1575,0.06,0.24,9.0,0.11,0.91,0.34,-0.01
333371,2016,0.89,0.69,0.07,0.56,0.57,0.2072,0.4793,214.0,0.0386,0.5795,0.9179,0.2958,0.13,0.2,3.0,0.16,0.83,0.0,0.0
433808,2017,0.93,0.13,0.09,0.46,0.47,0.0313,0.3915,37.0,0.104,0.4222,0.8379,0.1282,0.05,0.24,9.0,0.07,0.94,0.01,-0.06
338967,2019,0.8,0.07,0.2,0.44,0.49,0.3336,0.5127,495.0,0.0,0.0,1.0,0.2836,0.07,0.24,5.0,0.12,0.91,0.29,0.09
13848,2007,0.76,0.15,0.2,0.43,0.55,0.3881,0.4897,782.0,0.021,0.2152,0.9502,0.2773,0.04,0.23,9.0,0.09,0.91,0.31,0.02
816952,2022,0.83,0.21,0.12,0.53,0.52,0.3038,0.4488,253.0,0.1105,0.7341,0.863,0.2156,0.07,0.15,8.0,0.09,0.87,0.42,-0.07
547565,2021,0.95,0.41,0.04,0.6,0.46,0.0098,0.262,19.0,0.0445,0.4262,0.4765,0.067,0.12,0.17,4.0,0.08,0.94,0.09,0.27
25769,2009,0.81,0.11,0.18,0.52,0.47,0.1842,0.5081,244.0,0.099,0.0835,0.8283,0.0968,0.06,0.24,10.0,0.03,0.91,0.48,-0.02
502416,2019,0.87,0.2,0.1,0.52,0.52,0.1138,0.5394,69.0,0.2213,0.6781,0.5447,0.3046,0.04,0.24,11.0,0.1,0.94,0.56,0.2
8769,1983,0.95,0.33,0.1,0.51,0.5,0.2274,0.5441,281.0,0.0,0.3296,1.0,0.2152,0.08,0.17,8.0,0.04,0.87,0.13,0.11
7340,1976,0.86,0.61,0.1,0.44,0.45,0.1771,0.4593,258.0,0.1988,0.6566,0.6738,0.1614,0.05,0.17,7.0,0.13,0.91,0.15,-0.14
530385,2019,0.93,0.25,0.14,0.68,0.51,0.0868,0.7175,129.0,0.1616,0.1866,0.6709,0.0904,0.07,0.17,9.0,0.19,0.87,0.14,0.18
526051,2018,0.85,0.11,0.16,0.46,0.45,0.1182,0.4663,154.0,0.1058,0.7789,0.7901,0.0882,0.06,0.24,11.0,0.07,0.91,0.53,-0.01
758724,2022,0.92,0.28,0.08,0.42,0.5,0.1135,0.4763,169.0,0.0571,0.0316,0.8828,0.2037,0.04,0.23,12.0,0.22,0.91,0.5,-0.1
288158,2014,0.91,0.07,0.15,0.63,0.49,0.1805,0.5549,271.0,0.0054,0.8428,0.9863,0.1568,0.04,0.24,11.0,0.23,0.91,0.06,0.02
839436,2021,0.79,0.13,0.18,0.47,0.47,0.231,0.5106,289.0,0.0552,0.0305,0.8925,0.2651,0.05,0.24,11.0,0.09,0.91,0.47,0.11
150202,2013,0.74,0.2,0.17,0.39,0.53,0.243,0.4839,418.0,0.0366,0.0577,0.917,0.2317,0.1,0.22,3.0,0.18,0.94,0.3,-0.01
747,2004,0.83,0.35,0.15,0.49,0.5,0.3466,0.5211,393.0,0.2144,0.6586,0.5713,0.2558,0.06,0.24,8.0,0.04,0.94,0.37,-0.15
